dataset,backbone,method,seed,nalrp20,log
Amazon-VG,LightGCN,PDA,20,0.82793,log/runs/v3_Amazon-VG_LightGCN_final_PDA_g0.25a0.2_s20_test_k20_train.log
Amazon-VG,LightGCN,PDA,21,0.82652,log/runs/v3_Amazon-VG_LightGCN_final_PDA_g0.25a0.2_s21_test_k20_train.log
Amazon-VG,LightGCN,PDA,22,0.8264,log/runs/v3_Amazon-VG_LightGCN_final_PDA_g0.25a0.2_s22_test_k20_train.log
Amazon-VG,LightGCN,STFR,20,0.60746,log/runs/v3nob_final_Amazon-VG_LightGCN_SFDmmNoB_f0.7a1.0_s20_test_k20.log
Amazon-VG,LightGCN,STFR,21,0.60671,log/runs/v3nob_final_Amazon-VG_LightGCN_SFDmmNoB_f0.7a1.0_s21_test_k20.log
Amazon-VG,LightGCN,STFR,22,0.64325,log/runs/v3nob_final_Amazon-VG_LightGCN_SFDmmNoB_f0.7a1.0_s22_test_k20.log
Amazon-VG,LightGCN,TIDE,20,0.73403,log/runs/v3_Amazon-VG_LightGCN_final_TIDE_TIDE_q-1b-5_tau3000000_s20_test_k20_train.log
Amazon-VG,LightGCN,TIDE,21,0.76676,log/runs/v3_Amazon-VG_LightGCN_final_TIDE_TIDE_q-1b-5_tau3000000_s21_test_k20_train.log
Amazon-VG,LightGCN,TIDE,22,0.76445,log/runs/v3_Amazon-VG_LightGCN_final_TIDE_TIDE_q-1b-5_tau3000000_s22_test_k20_train.log
Amazon-VG,LightGCN,base,20,0.77187,log/runs/v3_Amazon-VG_LightGCN_base_s20_test_k20_train.log
Amazon-VG,LightGCN,base,21,0.77254,log/runs/v3_Amazon-VG_LightGCN_base_s21_test_k20_train.log
Amazon-VG,LightGCN,base,22,0.77224,log/runs/v3_Amazon-VG_LightGCN_base_s22_test_k20_train.log
Amazon-VG,MF,CausalEPP,20,0.7398,log/runs/v3_Amazon-VG_MF_final_CausalEPP_CEPP_sm1024a1.0_s20_test_k20_train.log
Amazon-VG,MF,CausalEPP,21,0.72818,log/runs/v3_Amazon-VG_MF_final_CausalEPP_CEPP_sm1024a1.0_s21_test_k20_train.log
Amazon-VG,MF,CausalEPP,22,0.7535,log/runs/v3_Amazon-VG_MF_final_CausalEPP_CEPP_sm1024a1.0_s22_test_k20_train.log
Amazon-VG,MF,DDC,20,0.69887,log/runs/v3_Amazon-VG_MF_final_DDC_DDC_k0.3_s20_test_k20_train.log
Amazon-VG,MF,DDC,21,0.7316,log/runs/v3_Amazon-VG_MF_final_DDC_DDC_k0.3_s21_test_k20_train.log
Amazon-VG,MF,DDC,22,0.6724,log/runs/v3_Amazon-VG_MF_final_DDC_DDC_k0.3_s22_test_k20_train.log
Amazon-VG,MF,DICE,20,0.57655,log/runs/v3_Amazon-VG_MF_final_DICE_DICE_a0.05_s20_test_k20_train.log
Amazon-VG,MF,DICE,21,0.59981,log/runs/v3_Amazon-VG_MF_final_DICE_DICE_a0.05_s21_test_k20_train.log
Amazon-VG,MF,DICE,22,0.5845,log/runs/v3_Amazon-VG_MF_final_DICE_DICE_a0.05_s22_test_k20_train.log
Amazon-VG,MF,IPS,20,0.69573,log/runs/v3_Amazon-VG_MF_final_IPS_IPS_l10_s20_test_k20_train.log
Amazon-VG,MF,IPS,21,0.69183,log/runs/v3_Amazon-VG_MF_final_IPS_IPS_l10_s21_test_k20_train.log
Amazon-VG,MF,IPS,22,0.65418,log/runs/v3_Amazon-VG_MF_final_IPS_IPS_l10_s22_test_k20_train.log
Amazon-VG,MF,PDA,20,0.69523,log/runs/v3_Amazon-VG_MF_final_PDA_g0.25a0.2_s20_test_k20_train.log
Amazon-VG,MF,PDA,21,0.70134,log/runs/v3_Amazon-VG_MF_final_PDA_g0.25a0.2_s21_test_k20_train.log
Amazon-VG,MF,PDA,22,0.68527,log/runs/v3_Amazon-VG_MF_final_PDA_g0.25a0.2_s22_test_k20_train.log
Amazon-VG,MF,STFR,20,0.60183,log/runs/v3nob_final_Amazon-VG_MF_SFDmmNoB_f0.7a0.75_s20_test_k20.log
Amazon-VG,MF,STFR,21,0.61039,log/runs/v3nob_final_Amazon-VG_MF_SFDmmNoB_f0.7a0.75_s21_test_k20.log
Amazon-VG,MF,STFR,22,0.57252,log/runs/v3nob_final_Amazon-VG_MF_SFDmmNoB_f0.7a0.75_s22_test_k20.log
Amazon-VG,MF,TIDE,20,0.64308,log/runs/v3_Amazon-VG_MF_final_TIDE_TIDE_qdefaultbdefault_tau3000000_s20_test_k20_train.log
Amazon-VG,MF,TIDE,21,0.68067,log/runs/v3_Amazon-VG_MF_final_TIDE_TIDE_qdefaultbdefault_tau3000000_s21_test_k20_train.log
Amazon-VG,MF,TIDE,22,0.67265,log/runs/v3_Amazon-VG_MF_final_TIDE_TIDE_qdefaultbdefault_tau3000000_s22_test_k20_train.log
Amazon-VG,MF,base,20,0.69878,log/runs/v3_Amazon-VG_MF_base_s20_test_k20_train.log
Amazon-VG,MF,base,21,0.73226,log/runs/v3_Amazon-VG_MF_base_s21_test_k20_train.log
