dataset,backbone,method,seed,recall20,ndcg20,log
Amazon-VG,LightGCN,base,21,0.06776,0.0311,log/runs/v3_Amazon-VG_LightGCN_base_s21_test_k20_train.log
Amazon-VG,LightGCN,base,22,0.06818,0.03098,log/runs/v3_Amazon-VG_LightGCN_base_s22_test_k20_train.log
Amazon-VG,LightGCN,IPS,20,0.06884,0.03467,log/runs/v3_Amazon-VG_LightGCN_final_IPS_IPS_l50_s20_test_k20_train.log
Amazon-VG,LightGCN,IPS,21,0.06136,0.02948,log/runs/v3_Amazon-VG_LightGCN_final_IPS_IPS_l50_s21_test_k20_train.log
Amazon-VG,LightGCN,IPS,22,0.06029,0.02778,log/runs/v3_Amazon-VG_LightGCN_final_IPS_IPS_l50_s22_test_k20_train.log
Amazon-VG,LightGCN,DICE,20,0.0562,0.02834,log/runs/v3_Amazon-VG_LightGCN_final_DICE_DICE_a0.05_s20_test_k20_train.log
Amazon-VG,LightGCN,DICE,21,0.06114,0.02797,log/runs/v3_Amazon-VG_LightGCN_final_DICE_DICE_a0.05_s21_test_k20_train.log
Amazon-VG,LightGCN,DICE,22,0.06058,0.02724,log/runs/v3_Amazon-VG_LightGCN_final_DICE_DICE_a0.05_s22_test_k20_train.log
Amazon-VG,LightGCN,DDC,20,0.06266,0.02988,log/runs/v3_Amazon-VG_LightGCN_final_DDC_DDC_k0.7_s20_test_k20_train.log
Amazon-VG,LightGCN,DDC,21,0.06629,0.03063,log/runs/v3_Amazon-VG_LightGCN_final_DDC_DDC_k0.7_s21_test_k20_train.log
Amazon-VG,LightGCN,DDC,22,0.0654,0.02981,log/runs/v3_Amazon-VG_LightGCN_final_DDC_DDC_k0.7_s22_test_k20_train.log
Amazon-VG,LightGCN,PDA,20,0.08071,0.0369,log/runs/v3_Amazon-VG_LightGCN_final_PDA_g0.25a0.2_s20_test_k20_train.log
Amazon-VG,LightGCN,PDA,21,0.08441,0.03698,log/runs/v3_Amazon-VG_LightGCN_final_PDA_g0.25a0.2_s21_test_k20_train.log
Amazon-VG,LightGCN,PDA,22,0.07994,0.03676,log/runs/v3_Amazon-VG_LightGCN_final_PDA_g0.25a0.2_s22_test_k20_train.log
Amazon-VG,LightGCN,TIDE,20,0.09447,0.04868,log/runs/v3_Amazon-VG_LightGCN_final_TIDE_TIDE_q-1b-5_tau3000000_s20_test_k20_train.log
Amazon-VG,LightGCN,TIDE,21,0.08695,0.04495,log/runs/v3_Amazon-VG_LightGCN_final_TIDE_TIDE_q-1b-5_tau3000000_s21_test_k20_train.log
Amazon-VG,LightGCN,TIDE,22,0.0874,0.0436,log/runs/v3_Amazon-VG_LightGCN_final_TIDE_TIDE_q-1b-5_tau3000000_s22_test_k20_train.log
Amazon-VG,LightGCN,CausalEPP,20,0.06524,0.0287,log/runs/v3_Amazon-VG_LightGCN_final_CausalEPP_CEPP_sm256a1.0_s20_test_k20_train.log
Amazon-VG,LightGCN,CausalEPP,21,0.06605,0.02875,log/runs/v3_Amazon-VG_LightGCN_final_CausalEPP_CEPP_sm256a1.0_s21_test_k20_train.log
